Sample,L2 Error,H1 Error,Relative L2 Error
0,2.132446748481778,4.12901742867469,2.627703017390505
1,2.067370258473942,2.1075382263864713,0.870793048971303
2,2.033365688187542,3.7097577448013275,2.348302386430292
3,2.496048082940366,2.950669085784266,1.1854316826848557
4,2.3670374137464476,2.8942940721529564,1.2353550186708098
5,3.9035327205087147,2.95957522220214,0.5046211624455019
6,1.925146500568964,3.858417594946208,3.066413683770575
7,2.0721028870711153,3.1731305214331114,1.1712387707101122
8,2.4154750197963573,3.7651652969827696,1.6063311595336234
9,3.82273795809095,3.1646053630705735,0.4481676338561584
10,2.090802512376605,1.2369322663891635,0.41567788894023505
11,2.1580151336457516,4.300881695053419,2.712783235027252
12,2.0501402441521823,3.741590317962245,2.442822693563033
13,2.158311105799076,2.759337565624252,1.1348731041476918
14,2.204551516627804,2.275823119357379,0.7569639727575906
15,2.0217029689145583,2.699000109902053,0.9148777070388439
16,2.130250627160374,2.5259277456528464,0.7039992178835891
17,2.686033021250132,2.5636275906793338,0.9474056747228702
18,2.300745775018446,4.029562118030844,2.0890885120190608
19,2.1708422895155355,3.5552369899717213,1.5506249043613811
20,2.8471746307829866,1.7918909779077457,0.4515692891645934
21,2.1234449213324433,3.4939740372742425,2.0905564285983194
22,2.1359188537521265,2.997610320676876,1.091983059074315
23,2.504754266846302,3.5952123751865557,1.9145583048828798
24,3.038362795368008,2.014086328620756,0.4865007132578725
25,1.7122590073476682,2.3483372545588415,0.7499908320351476
26,2.5135264532017554,2.187138446473161,0.5775611465916022
27,13.913686410993504,6.588462312546272,0.772773272419906
28,1.9892074164639704,2.8055965922666117,0.9078722773492847
29,2.1046033917784945,2.8583129066320856,1.3269244800432691
30,12.961652719265574,5.974607478304863,0.7859678510533576
31,1.9303408110493672,2.256587267168078,0.6395269682142672
32,2.301337938183412,1.7501313553263493,0.4529372933879572
33,2.058573772501204,3.593320150087017,2.0894780078036432
34,3.0542709991100123,2.2646384383283515,0.4973381420368206
35,2.381126012112627,2.2466321482874223,0.7377751232318642
36,2.40753590565948,2.859930626545153,0.9094934110835345
37,2.560029495530931,3.913970579897521,2.0130720611323336
38,2.0982151964567897,1.9905834884278069,0.6109073777128835
39,1.3243642224738406,1.1899977221438856,0.28964832413974334
40,2.051745588322683,3.5972640659289614,2.2278481199499223
41,2.70254915171991,2.2283378986305693,0.5310396118031792
42,1.6143386807298896,1.715549428926694,0.3438317762865055
43,3.6352214519294725,2.522431749239961,0.6161803576814753
44,2.4448184877250636,3.4981614769904996,2.1705305071093615
45,2.0352364809289925,3.574651979549398,2.2752034033695763
46,2.2441684427091304,3.3480862593444396,1.369992328991662
47,2.2892257880220135,2.8262663557692687,1.0122783433216003
48,1.9936354942809091,2.045799937645363,0.45440067234826126
49,2.4645446374212985,3.333184452997241,1.6262262758424815
50,2.1553084632270543,2.851576774031761,0.9872841296641202
51,1.9077325333977062,2.4142892400080527,0.7697178964114133
52,2.3869026676876244,3.357243860890463,1.3386256705768618
53,2.1601799224239837,3.6130812176713265,2.284856771336991
54,2.2796693295974686,3.9100305121643846,2.107401399295172
55,2.179256688680732,3.375173637318575,1.2798648985009697
56,2.2297547859329288,3.2301482258300953,1.2168249964416515
57,2.2137181317265324,3.109602242411546,1.491145532168421
58,2.229289716687151,2.8794120704959254,1.3788059751172084
59,2.0419515244016804,3.265421296839762,1.3583957645616056
60,2.204112477622739,1.9513745555543087,0.792231311398898
61,1.8948000329574612,3.7781576250542144,4.291866361755004
62,5.952562087075944,3.8177208656802515,0.6039473664131441
63,2.595062986912265,1.686155469084526,0.40278805655294925
64,2.106034273010719,4.069055583115515,3.0891334101113586
65,2.076505750979583,2.973353676880834,0.953389949221332
66,2.5595965755878427,3.5099474470699463,1.4523363904843827
67,1.5372997606978338,1.4353781187987773,0.3692943023143634
68,1.4731812467922607,1.671250875756096,0.34598576141354614
69,2.5022747405273655,3.8443640587709162,1.9995239620078196
70,2.3108480101782636,2.22396942297712,0.6722892021993517
71,2.6938605729776657,1.9493084253920867,0.4789299896968487
72,1.9920706187026611,3.6760811297217537,3.068155047377329
73,2.635556322714933,2.0422042525072888,0.4900096373110593
74,2.0346828531166783,3.8624717417590135,3.1043307326530027
75,2.351744295352214,3.664275054801017,1.4515796999371342
76,1.9676814088261427,3.062360497422671,1.2839751081872526
77,2.263697084146325,3.8680617527940067,2.1994487467135695
78,2.652282227917456,2.5889944991545906,0.7549983520757441
79,2.575786438175449,2.5005313186728917,0.9555138133383616
80,2.1761908204651466,3.7734424773879303,2.2409838130102164
81,2.1973089047994057,4.366623604593437,3.260852627619602
82,2.146828080086557,3.536248851533805,2.2759922531752186
83,2.50686367946362,3.4552139505304753,1.411591886030011
84,1.9444348865672185,2.458980063995842,0.8730139722145754
85,2.170254077960089,2.2586459866190425,0.546902696698731
86,2.2988567745738395,2.8756822325931144,1.2485495311412633
87,2.3971511750309618,2.5954088442397483,1.0190293118177798
88,8.439721679534795,5.156858128376037,0.6629749848729731
89,1.8824674274143254,3.8519054737514646,4.192022487952209
90,2.451887042953947,2.9213599912547688,1.4227484415774738
91,3.0485072830550473,2.414122352339311,0.578760005404413
92,1.8038768819263054,0.7158616715586951,0.32391069767006603
93,2.1212769745355384,4.075750172938685,2.9899485386122215
94,2.1376421869658584,3.0651239554661576,1.4180942476733047
95,2.1641190054433097,3.621912096454833,2.1416039905542834
96,2.200629612278385,3.3839273119793427,1.7801991374184811
97,2.5486107988046656,3.5738448609170184,1.8592696579646912
98,5.95920041056241,3.3908629506437937,0.6436414879246191
99,2.267956737809743,3.2557126560736074,1.0634300510102364
100,2.5061735625643213,3.5283726708642775,1.2512747872638286
101,2.7472208994129277,2.2914272547697654,0.7115647341572104
102,2.2838402865757184,2.849857094196669,1.2959981705456587
103,2.2318936945056294,3.5637857653391665,2.185409349883616
104,2.9236549218640273,2.2690765135484927,0.5680799455052384
105,2.182059762076064,3.861691401476908,3.117473767529862
106,2.247293057866102,3.0348365761316343,0.9948806321129376
107,2.1371250014572816,3.163662249244838,1.0938721089799945
108,2.723178750324968,1.9137919695092291,0.6431688123267895
109,2.198638460689245,3.566083862057966,2.0909912430584634
110,2.3949253278361615,3.7289989200613105,1.5811507875922037
111,2.0794477389364183,3.7393152321236656,2.5395626683444275
112,3.121135240450019,1.9717295290395982,0.44012838958822553
113,13.770827556123674,6.617566734711165,0.7675385659139636
114,2.187651390333286,2.9132339167136254,0.9419784241600591
115,2.5084537902607047,3.2668913969717512,1.2217422861606693
116,2.557508386310241,3.9007385136095305,2.0293317560161186
117,1.1373244797835513,1.2402937805465353,0.267997070168698
118,2.328193708366987,3.620527301509683,2.169576450500999
119,1.6597618142580681,2.3206200210898236,0.7055236920503211
120,1.853939191088993,2.861789305293154,0.9413894247796287
121,22.356494617865355,8.355500892573977,0.8454233838933071
122,2.3068318561239978,3.5854313439438736,1.4313610762224243
123,2.7622444144426295,2.503035236919662,0.7580219848501039
124,2.309091471405014,3.5206592771876433,2.0331004167687023
125,4.770717774515546,3.9482944711702554,0.5148321172714999
126,2.1389142878919536,3.483317573066535,1.6731714091001144
127,2.24824356791673,3.94871957554064,1.9289805308929973
128,4.898856885722092,2.482563160385103,0.6273012535635207
129,2.3035003715247315,3.972173224069906,2.799136564972357
130,1.945658982047417,3.8950566829775037,3.180900062625301
131,2.544011635789562,3.4847034794476732,1.2513339943940223
132,3.9753183222571393,2.9090386770394456,0.5632817544416724
133,2.0215263191975743,3.0923135202712673,1.0397025137355684
134,2.4957385362625617,2.2852163141291024,0.6361368469697564
135,1.8904104612122412,2.382400887081325,0.9177206534746525
136,2.7103360621243984,1.9918186601110333,0.7546694414815183
137,1.9395498188050782,3.7258314377210437,3.0263327396167896
138,2.2463786949876616,2.16717361258486,0.7759831293131595
139,0.8635142239219035,0.674754724559173,0.19680776863017838
140,5.013921622111471,3.410305769320391,0.5845560652830382
141,5.928568173368621,4.059572579985501,0.589459336778977
142,4.327002250471354,3.31800271832111,0.5140098757449478
143,0.8025891640083325,0.7237626775543459,0.1885355762446058
144,2.1205631108941145,3.5100487541659766,2.2581062187706955
145,1.9546567397450962,2.8932452411239797,0.9311341566229846
146,1.9658443047401557,3.320327890817962,1.3655606197386638
147,2.462640695350608,3.553411767698194,1.9339094975222348
148,1.957356580450046,3.8146625368410856,2.9788924633300624
149,2.4487750205926764,3.3712383084174644,1.639160839034247
150,2.1384227085237315,3.0601566589389955,0.9961123735824836
151,2.1712380918140552,3.9802493758732744,2.6386847423228095
152,2.232158234612812,3.8574664636281106,2.6312436592190553
153,2.098751069178038,3.5471430938841992,1.835507045343712
154,2.2395248890465522,3.724901150217063,1.8277648420208377
155,2.4763567743553145,3.5162679489829887,1.8531723960471413
156,2.270874569741122,3.7045484698817455,1.8895018013187583
157,1.9923742981651393,2.076158086026192,0.6634448105123182
158,1.9249099771778335,3.8262309313355405,3.0517197767246236
159,2.3287711134881,1.8829401294076955,0.48825185049773256
160,2.4083548631119363,3.6781036924255677,2.2662936146297485
161,2.058946079002335,3.51709421550029,2.255496568289733
162,2.7020524123517364,3.6811994331555637,1.6167767676826248
163,6.163838735287852,3.000647697851138,0.6672655040333596
164,2.2631989549683325,1.3601512405429854,0.4599401145337784
165,1.9944071502214256,4.046764107426991,3.7879882297483447
166,2.105201144812719,3.308444636859766,1.1763073829086679
167,14.902755741528619,6.357283901170438,0.8091319060303955
168,2.4215364043494105,3.102288667318223,1.0977467048921286
169,2.4768371634261572,2.3226177562172694,0.8076861831632461
170,2.2937877697278806,3.9680153677509047,2.349319552634759
171,3.9004430504087177,2.9425357094415854,0.5102852953380466
172,1.876471054655803,1.8715251989019541,0.4103562636450969
173,2.337090586100794,3.5474431349610964,1.9627467950946147
174,2.2493514923806583,3.6495227260704093,2.0942738680413595
175,2.4216937042808744,2.9394541670753873,1.152366351184616
176,2.0861920889353933,3.4370470970096196,2.0579469737255223
177,2.2475659865861433,3.751504346293122,1.9326213768412361
178,2.5162843842322835,3.2959272936538935,1.459410757595142
179,2.165732587400354,3.45246374077462,1.4670806843614526
180,2.373807962791261,4.1233897798046435,2.5340465469515
181,2.857959119754397,2.333052999572809,0.5967035157606834
182,2.429364724890956,3.2298726975827314,1.5418470584418331
183,2.7718085692548033,2.545937624567695,0.8785588582745586
184,2.774835768183917,2.6519759604941826,0.837717658571667
185,1.8320278297577632,2.214847356005969,0.8246193115774898
186,6.1307493063136445,3.323234221664225,0.6546870255326871
187,2.422562544229461,2.8692208662988237,0.9250379000402814
188,2.5794543283597835,3.0056025014592263,1.1885926832763836
189,2.1928269241838327,3.848381309605149,3.1557371207583746
190,4.167477856429323,2.5254052944672094,0.6293314603438576
191,3.2470763626614314,2.0717508112982017,0.5287099143759851
192,2.3793910881298572,3.5799785939296065,1.9407420280510745
193,2.908278814348893,2.0201763030929665,0.4759465649160513
194,2.3944377200511,0.8733280739780853,0.4329843898703485
195,2.160601980769838,3.231047213662858,1.6822598588843003
196,2.4897788477044798,3.0352724433976896,1.2120476194290812
197,2.3123044100214996,3.5268337512439794,1.982928561780856
198,3.452654383830185,2.59983739349819,0.607065896519819
199,2.1501182472481806,3.1855697342641016,1.372891506330508
200,2.769815996868725,2.0580263173640785,0.706529075726893
201,2.2484472839565965,2.1181828416215702,0.7012772160899173
202,2.103592229464971,3.9914614057946283,2.408679213033812
203,1.8500184662767116,1.8318792827140251,0.7123864734880515
204,2.14254281559261,3.917272548378377,2.8987596101012874
205,2.1992074867382145,3.2688477868438017,1.7536750792770883
206,1.5262252739268556,1.5277715959393428,0.5502573990380535
207,2.169508237790657,2.397303477649213,0.7211467009342648
208,1.4899789133480645,1.4758088561800278,0.3702677651800994
209,2.4067442529470378,2.902996986363725,0.9177844285004714
210,1.0404632448646458,0.9313116519080357,0.23065029676694931
211,3.5020329493389935,2.753796843495403,0.42712030322166344
212,0.5380833866246535,0.5967050783892222,0.12936944758586677
213,2.1012235655139833,3.731707797027838,2.191625904200304
214,2.00556682595744,1.5626916432934284,0.41577154538348005
215,2.3016286520410736,3.6128891086524964,2.3745954963989355
216,1.8657068134616623,2.104516754609935,0.43745644087808605
217,2.1426640130379893,3.756247128786118,3.1517808161216556
218,2.4830115795434784,3.568839406826517,1.9826034602448181
219,2.3001487710629105,3.601124136261938,1.5538550736318393
220,2.1697904834318944,4.29050008206201,2.9414031258037805
221,2.352672933881277,1.5849509055499302,0.7215112193047348
222,2.423002869561395,3.35941235483121,1.691444026258332
223,7.4197614336378654,3.4686227148082196,0.6677106509273398
224,2.2946093682316397,2.8382186987528013,1.0495774690099737
225,2.310180102209502,3.6359312209313983,1.9342935990454202
226,1.7150663752125828,1.881974693554305,0.4116386821617711
227,5.306230277096168,2.597396198292357,0.6191323152222628
228,8.228374717180952,5.061862315493938,0.6665188745292135
229,1.4670779196453494,1.5352783483187475,0.39350215710490466
230,2.2804414415991308,3.900250833413854,2.14221120762525
231,2.561977946893129,3.0266133658666634,1.1601045193761224
232,2.033092882581031,3.5154237453691373,1.4782395208674965
233,1.765828594870579,1.7068117744508606,0.6232334896475393
234,2.1882050209474304,2.288510048080774,0.8891809252288808
235,1.3601625339435248,1.4838591220610453,0.3634437862982218
236,2.3482749110476884,3.4426437086958894,1.3657889294686305
237,2.2364737832224164,2.9107379042489105,1.1979036432407637
238,2.5308213914709223,3.523194611224047,1.2357682222181199
239,2.5040134088622175,3.6009350622626766,1.926747853150972
240,2.1558845446173907,3.8478105140011882,3.1754528944743194
241,2.0479875761858644,3.694158010013589,3.1048682110614014
242,1.935959298566171,3.060681244396236,1.2745706548180125
243,2.082431655558431,3.6039729014840924,1.5947836918325606
244,3.5031432839703345,2.8495111579748413,0.415470145876825
245,1.6785166600563448,1.9435517873296844,0.382811767580027
246,4.5598363582626344,3.188686451938346,0.5790607701634284
247,2.515405455827952,3.8747332326630954,1.7788472851041641
248,2.435945063743599,3.693724343018463,1.9847525754577917
249,2.5164620564490803,3.5657687806232166,1.2215571847560858
250,2.175831864403136,2.215004311402958,0.9101087685868923
251,4.40501251066587,2.7219691829668653,0.6499334748087054
252,2.0024267330849517,2.054286365475602,0.5905382630298867
253,1.5918165028826248,2.071422726550416,0.6242712278610212
254,13.027294662772489,6.439472117273122,0.756499976583905
255,2.293817569259464,3.6020971580189753,1.3918214148280088
256,2.5181711317140665,3.6248058611834137,1.7903931324455862
257,2.2010796656449827,2.200040897889054,0.907402508942871
258,2.049524163067923,3.6795220815305223,2.2252842931010086
259,2.263031661348767,3.9335507154521965,1.9878111897606574
260,2.360388729519323,3.645753231028849,2.1771936605409308
261,2.2030603501581147,3.5225385362828665,1.8243410470759702
262,2.413797645897805,3.7249528261800138,2.366068556239693
263,3.594282188061909,2.6896275232419504,0.5176176318914099
264,2.0864194430092766,3.6258419819228798,2.4009289298780088
265,2.105556681330324,3.582201291704772,2.3296136857217675
266,1.234271962781529,1.01849171586244,0.2318536647425391
267,2.294937592051678,3.2727666503881556,1.4113964525511908
268,4.91828302382674,2.9154256114473815,0.6590686717425378
269,2.668039816655355,3.641797377913503,1.7248609823042362
270,2.46118839000704,3.7427109752180616,2.1221488813649683
271,2.0772947193316997,4.109879309036387,3.5265450552261224
272,1.6896795795331785,1.9636363290504057,0.39253667134619175
273,2.3423515265946113,3.1738300641584334,1.5791196452638787
274,2.660474056251662,1.766697229409769,0.4385187828612497
