Sample,L2 Error,H1 Error,Relative L2 Error
0,1.2030687325948464,1.0356872877181058,0.21689757234092058
1,2.434547326857091,2.3564804646109345,0.49152302819066723
2,1.2348383363057143,1.5401529780136793,0.2999143732958341
3,3.194835437150653,3.902113826632362,1.0629600590827686
4,4.123319021895245,3.1563915697509772,0.4932908618336494
5,3.056265720733991,4.4031129954830455,1.4343231177863665
6,2.3142859743338176,2.201446178315942,0.4215910237178709
7,3.5365623716098162,5.455246958933377,2.0857021782626965
8,2.480618207460122,2.3638949480451843,0.6376589720429403
9,3.1766351008023532,3.8837017338434046,1.0510354832327176
10,3.149673685266505,1.851701531940155,0.5094698447927375
11,2.0305138789998205,2.1043887683064932,0.40679180106537954
12,8.156986901513516,5.374722801740643,0.6304683550513627
13,1.320844821076701,1.5127552368235428,0.3275852505401787
14,2.6564692778474956,3.0495165467501866,0.7100547056776833
15,8.718749673727775,5.117976565830732,0.63997000181731
16,6.477917653090575,4.759085368944016,0.5679369778391922
17,3.422751088111494,4.656534340554104,1.5584430317228792
18,3.2902888363490512,4.292358979074999,1.4621782540621846
19,3.3141230045374614,5.441015624481474,1.9119524354073356
20,2.98620304019666,3.8009016014956414,0.9190605233696394
21,2.113354610316106,3.0235560658482847,0.65875675328912
22,6.020395266616337,4.572864149725431,0.5450700126355748
23,2.8162663698662844,3.517118010312041,0.8918180474017479
24,2.344762492421939,2.9896011770918975,0.6841130743520252
25,3.2312405574161094,3.921195331842027,1.1859099205270955
26,3.201972369553459,4.413436051538327,1.3255019634133633
27,3.1606921281389817,4.753977374148274,1.6298849323060312
28,1.7372725382092638,1.9066661002024858,0.41196120852695456
29,2.8869831276486915,3.174135628664309,0.8757467837936416
30,3.440519939723833,5.349358669652786,1.9732680311796822
31,3.1433832255173044,4.639902245113815,1.5571134352701435
32,2.85127214930796,3.1474362991721088,0.9556381629531986
33,15.841384405698209,7.269482506317764,0.7849141682575294
34,20.04232911867868,8.14828033953942,0.8235614927974229
35,2.889012379956547,3.1676032781793944,0.8848039145295802
36,5.155148852823831,4.449396275037702,0.47468211093008067
37,1.5903720478484527,1.7851743098424722,0.3094956704449486
38,3.372639859222986,5.678135739346422,2.17146743438406
39,4.323452268716459,3.258599272741229,0.49002726704701643
40,3.3847693701900607,5.909875528641776,2.28540093503586
41,13.312884379554838,6.391550672750963,0.7752532572506878
42,11.61564552713485,6.349202080561033,0.7177811664854498
43,4.876127833412129,3.584016812521647,0.5437806383029258
44,2.1781505461710124,2.2605916471354246,0.3803741524414061
45,2.4379213923132124,3.5733744609682745,0.8883165381610622
46,2.3860440680074375,2.2892823395506094,0.5634615975372471
47,3.3973930814521753,1.2798200220233358,0.4759339064821682
48,2.9396811850336872,3.260655807609191,0.8406001942586523
49,2.824483986291936,3.67478847242032,0.8441064288008244
50,2.1706223407887353,1.9863497976050464,0.370639202393942
51,3.014594287788001,4.518004088380422,1.3382333088398042
52,3.1394706646746804,4.738576322648243,1.6276608774924304
53,3.1723296053408636,4.957014761728387,1.7145673606997365
54,3.5496879276622155,2.8137758221500806,0.4937781442156062
55,3.3201159210672393,4.300800734471095,1.3944827107654076
56,3.1366629073246113,4.8795271091395165,1.4908345994941672
57,3.210818369698794,3.87688846407975,1.173571674503672
58,2.382825879499603,3.170116523221572,0.6723094850118174
59,3.073773667394492,5.194978928855206,1.6363592770223214
60,5.436657449906053,3.8354595654290673,0.5641130952565364
61,2.3270668928223057,2.196801254464504,0.3534273401095386
62,3.279952001945785,4.603315940090123,1.5942093222887936
63,3.31407479499771,4.094597203711681,1.2912744315326414
64,3.0921764575107926,2.5157502175631614,0.6097113564854519
65,2.6779009699299405,3.54170689117456,0.7838385750309492
66,2.6853038445432857,2.583517126557274,0.6665588980436279
67,2.9341723914047235,3.2016680383397054,0.9688716597780869
68,3.4047943007053343,1.2634533971911655,0.5340047997982915
69,1.7335588431392406,2.171203042269657,0.48632527172441986
70,15.51572784082059,6.801703458879297,0.8024891790076368
71,2.91821649793927,4.17517288489016,1.0830752857493757
72,2.1971460158521716,1.6791125129728253,0.30076665781408213
73,1.8605743095788174,2.2015831072907255,0.46036078821559406
74,8.097399871639434,5.360672529238444,0.6289932586424846
75,2.3131037488465775,2.7692350508002455,0.6411183548712502
76,2.984594590989114,3.7984512656875298,0.9222404526054598
77,2.2482875312990944,2.4057681558605304,0.3835541485552448
78,3.4253126227953135,4.681246927929073,1.579516367109259
79,6.248581190143825,3.3545206336728812,0.6280539903699406
80,2.3506081922937483,1.9478869675191606,0.4830237926814467
81,2.7391145456479205,3.6735751727129937,1.1662308255797018
82,2.1899804357073074,2.539742705717328,0.4888180779089017
83,2.8061769957568785,2.646314661668136,0.689820006038268
84,1.859961116893987,1.7080930493178945,0.42478979627401653
85,3.118439825155752,4.766934756321268,1.626373932705678
86,2.6230247207750415,3.704853892363163,0.948757415105173
87,4.427329554952972,3.2090063769937327,0.43973977908080364
88,3.2659399641962588,4.265060439482896,1.3429762128216725
89,3.2932397946154146,5.697272652123771,2.1765907136637384
90,3.426911853808602,4.789866057020309,1.7108578155248242
91,3.6735574930564363,2.5274287534384157,0.49356755273428765
92,3.4003340396836625,5.3713829426821516,1.9993772912698746
93,2.3517649172026283,1.8107677203944355,0.34723399183557885
94,2.9507141405031385,4.231717086521452,1.096353435624186
95,2.417759914199152,3.5833115497826586,0.8850202320536822
96,3.2162156776131394,5.499399047378128,1.926557232129786
97,3.221506395761985,5.253388737121966,1.746277431904357
98,3.03695991925733,4.704310046456217,1.3799861715922193
99,3.062954960398604,4.628813722529212,1.5174611988997442
100,3.3808198009197996,2.746818263796133,0.4570383281247024
101,3.0074915078920434,3.6728064904552253,1.0266959071522508
102,3.1512898791235404,4.896334782415047,1.5445321779719803
103,3.1384171531672753,4.575291295111146,1.4011092565218837
104,3.164184570444857,4.9998387083437015,1.7306047940908267
105,2.727112296924755,3.3359643449917047,0.9397842191200385
106,2.896207774487819,4.155428207720717,1.3108051374087721
107,2.2271309891316684,2.9140840846893874,0.6170218879028414
108,2.6359053672514405,3.6458534941713587,0.9079798813264921
109,2.1344640140109346,2.1715109922563336,0.43084268286658534
110,11.923229454615692,6.694328004754002,0.7015663908771619
111,10.108926823259196,5.918680244049162,0.6490767467819798
112,4.493852089484711,3.3789694704205933,0.4390799674149082
113,2.873039308571559,4.127229855383462,1.3010561908231915
114,2.3993795939485585,2.686127121093555,0.6541420907380786
115,1.4148207102742805,1.413640150347548,0.2651032278162177
116,2.2783192235026863,2.899714783818725,0.6326766677263658
117,3.2066355469742818,3.984408371091025,1.2691740030328034
118,2.6102313649230813,2.540490574615621,0.6709785868280456
119,2.5167224282766982,3.338360740759439,0.7825696458611492
120,2.138555678411645,2.449157438721864,0.5579886784687331
121,11.722276227582729,6.9869419916090285,0.6719150267144077
122,2.589169230823469,3.632993988745148,1.0476018638408477
123,2.31430533763607,2.247436974312675,0.5091627578053685
124,2.5841973660327913,2.1847095700105514,0.5886510111359676
125,6.991589411791474,3.741486417351151,0.6551671228883199
126,2.5661967439005844,3.406215221157487,0.7373460614618315
127,2.9469856307507323,3.806029276755465,1.1197809072761937
128,3.22270422934454,2.3693543860812083,0.4473067857136603
129,1.8755957543971842,2.0669744790006304,0.4387109207095647
130,2.6391986646617416,2.4431982156827354,0.6454436401777622
131,2.7979523428554227,3.0788555854041757,0.8987913779992455
132,4.536087278663503,3.4179463046916907,0.5300733777392993
133,3.3418161174084284,5.761807405198034,2.096562687977287
134,3.210811475484489,4.119923854799142,1.3158944485454385
135,3.4706036640188,2.5729980463589652,0.5045796449889254
136,2.9006809625005925,3.2190578799090774,0.8609108164959198
137,2.1390066652277313,2.528999795485868,0.54258807520345
138,3.278621000185168,5.149743170746966,1.6809231853980318
139,7.128226603867476,4.838067409452891,0.5981394880450641
140,0.771506753590876,0.5640467873918265,0.1310009098140139
141,1.877242103065171,1.9113542210543362,0.5050681233039176
142,1.9550176051710653,2.0426328031573764,0.3856790849572536
143,2.786487980212988,2.64556827989933,0.6903161099915394
144,2.3728408468972932,2.680889062191672,0.6486891778412408
145,3.040254592359301,4.565000263389705,1.354991021336713
146,3.1400254752246504,4.5699752690927555,1.367893755002799
147,2.9562802747666463,2.625680375277274,0.5318282540492607
148,4.411915939587774,2.8083531305740648,0.5199503196291377
149,2.875438859888471,3.228396486061578,0.80216718800098
150,2.0562976348311173,2.8946430414319786,0.576559151971834
151,3.376434346466315,5.254904164358471,1.7879928654651196
152,3.3997619917333535,6.216006009554659,2.5035674158595596
153,2.4482317093729167,2.0414689645651407,0.5765715324076323
154,5.332553711767106,4.53971136522609,0.48928630393378425
155,3.3158174951754606,2.414126774616509,0.4473152759951303
156,2.1474042339731434,2.2252174594318563,0.569570632651133
157,2.2384369181957413,2.3742256103573913,0.372086885188823
158,1.7298728881768186,1.974992656987205,0.3488477498160265
159,3.138117623169806,5.1581521135469535,1.660593432336334
160,6.47029450201072,4.24710395514646,0.596305183431938
161,3.2336778520130327,4.2986030364504035,1.4622717660128641
162,6.204151449551278,5.025652507384847,0.5484873072768225
163,2.7022506257443832,2.5210098403741648,0.5490987689669983
164,3.107042667313822,5.078976681076917,1.6156846777768217
165,2.869312436693634,1.568709479054872,0.5544860641805186
